SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
÷N	Reciprocal: 1÷N	Primitive	Monadic Function		Mathematical	multiplicativeinverse opposite obelus inverting reciprocating per	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOb1cwVDBSMP7/HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/reciprocal/
M÷N	Dividing M by N	Primitive	Dyadic Function		Mathematical	division over ⁄ divide per	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUOb1cwUTBVMOeCiRqAhA6tN1Iw0DP9/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/divide/
|N	Magnitude (absolute value)	Primitive	Monadic Function		Mathematical	verticalbar pipe stile stroke verticalline modulo modulus amplitude 10○ 10∘| hypotenuse hypot()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRqFIz0jBUOrTdRMFAwzjL5/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/magnitude/
M|N	Residue after dividing N by M	Primitive	Dyadic Function		Mathematical	verticalbar pipe stile stroke verticalline modulo modulus divisionremainder divide % divmod() residual	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwNFA6tN9IzVahRMAeyDI0VLP7/BwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/residue/
!N	Factorial (Gamma function of N+1)	Primitive	Monadic Function		Mathematical	pling exclamation bang shriek countpermutations combinatorics fact() gamma() Γ	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQUFYwVLBUOrTfQMzT8/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/factorial/
M!N	Number of selections of size M from N (using Beta function): C(N,M)	Primitive	Dyadic Function		Mathematical	pling exclamation bang shriek binomial combinatorics countcombinations unordered selecting picking outof nCk C(n,k) choose choosing	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwVjBUUgdjQQOHQegM9Q8P//wE	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/binomial/
A!N	Selecting elements satisfying condition A, others to 1	Primitive	Dyadic Function		Boolean/Logical	one cells items	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgdAAjBUVjIG0CQj//w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/binomial/
?J	Random number selected from ⍳J	Primitive	Monadic Function		Mathematical	questionmark roll randominteger interrogationpoint query eroteme	https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFMxj8/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/roll/
?B	Random real number between (0,1) if B=0 or ⎕IO if B=1	Primitive	Monadic Function		Mathematical	questionmark roll randomfloat interrogationpoint query eroteme	https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFAwWD//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/roll/
Is?Js	Deal: Is random numbers between 1 and Js (without replacement)	Primitive	Dyadic Function		Index Generation	questionmark interrogationpoint query eroteme distinct cells elements indices 1…Js 1...Js ⍳Js	https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBUNjBXsFU6P//wE	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/deal/
M<N	Less Than	Primitive	Dyadic Function		Comparison	lt before precedes ≺ smaller lesser	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFEyA9KH1hlxowkb//wMA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/less-than/
A<B	Logical converse nonimplication	Primitive	Dyadic Function		Boolean/Logical	gate ⇍ ↚ ⊄ Mpq cnimply	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2AZIgmjD//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/less-than/
M≤N	Less Than Or Equal To	Primitive	Dyadic Function		Comparison	before precedes ≦ smaller lesser same as	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5RMAGyDq035MKQMPr/HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/less-than-or-equal-to/
A≤B	Logical implication	Primitive	Dyadic Function		Boolean/Logical	gate materialconditional materialconsequence implies implying materialimplication therefore ∴ ⇒ → ⊃ ⥰ Ɔ Cpq	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHnEiANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/less-than-or-equal-to/
X=Y	Equal To	Primitive	Dyadic Function		Comparison	sameas ===	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFUyA9KH1hlxQYXWnxDwgVAfKqCeqw0TNQVxz9f//AQ	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/equal-to/
A=B	Logical XNOR	Primitive	Dyadic Function		Boolean/Logical	gate materialbiconditional biimplication eqv nxor bothorneither exclusivenor materialequivalence ⇔ ↔  δ ẟ ≡ ∼ ~ ⫗ ⇄ ⊙ Kroneckerdelta iff logicalequivalence Epq Qpq doubleimplying both-or-neither	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB2BZIgmjD//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/equal-to/
M≥N	Greater Than Or Equal To	Primitive	Dyadic Function		Comparison	ge after follows ≧ larger same as succeeds	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5VMAGyDq035MKQMPr/HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than-or-equal-to/
