SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
num←dfns.mean nvec	Arithmetic mean	Dfn	Function		Mathematical	localnames standarddeviation APL'88 APL88 1988		https://dfns.dyalog.com/n_mean.htm
num←dfns.det nmat	Determinant of square matrix	Dfn	Function		Mathematical	Gaussianmethod Hilbertmatrix det() |A| det(A) det(Nm) |Nm|		https://dfns.dyalog.com/n_det.htm
num←dfns.osc num	Oscillate - probably returns 1	Dfn	Function		Mathematical	cashprize wondrousnumber Gödel,Escher,Bach Goedel,Escher,Bach GödelEscherBach GodelEscherBach GoedelEscherBach engineer'sproof engineersproof collatz conjecture		https://dfns.dyalog.com/n_osc.htm
num←num dfns.gcd num	Greatest Common Divisor	Dfn	Function		Mathematical	greatestcommondivisor leastcommonmultiple tailrecursion		https://dfns.dyalog.com/n_gcd.htm
p←s dfns.birthday n	Probability of same birthday	Dfn	Function		Mathematical	paradox		https://dfns.dyalog.com/n_birthday.htm
paths←item dfns.in array	Locations of item ⍺ in array ⍵	Dfn	Function		Index Generation	find pick cell element locate		https://dfns.dyalog.com/n_in.htm
pvec←dfns.stpaths tree	Spanning tree paths	Dfn	Function		Structural	graph spanningtree		https://dfns.dyalog.com/n_stpaths.htm
precedes←this dfns.le that	Total array ordering (TAO) comparison	Dfn	Function		Mathematical	quicksort Totalarrayordering order(ofarrays) comparearrays lexically lexicographically sorting reordering		https://dfns.dyalog.com/n_le.htm
prob←cond dfns.bayes prior	Bayes' formula	Dfn	Function		Mathematical	Bayesformula statistical statistics probability probabilities		https://dfns.dyalog.com/n_bayes.htm
rslt←code dfns.type array	Widen ⍵ to type ⍺	Dfn	Function		Data Conversion	dataconversion ⎕DR converting change changing		https://dfns.dyalog.com/n_type.htm
rslt←indx dfns.from array	Select (1↓⍴⍵)-cells from array ⍵	Dfn	Function		Selection	arrayindexing		https://dfns.dyalog.com/n_from.htm
rslt←indx dfns.select avec	⍺-selection of items from vector ⍵	Dfn	Function		Selection	indexedassignment destructiveassignment purefunction list major cells rows elements		https://dfns.dyalog.com/n_select.htm
rslt←pvec dfns.lsys axiom	Lindenmayer L-system expansion	Dfn	Function		Selection	L-Systems fractal rewriting termrewriting Turtlegraphics LSystems		https://dfns.dyalog.com/n_lsys.htm
ref←dfns.mns defn	Make Namespace from association list ⍵	Dfn	Function		Data Conversion	associationlist vector converting change changing		https://dfns.dyalog.com/n_mns.htm
ref←dfns.refws wsid	Ref to saved ws ⍵	Dfn	Function		System	workspacereferences externalworkspace remoteexecution		https://dfns.dyalog.com/n_refws.htm
refs←dfns.refpath ref	Refs path from root to ⍵	Dfn	Function		Array Properties	parentspace ancestorspace namespacereferences		https://dfns.dyalog.com/n_refpath.htm
refs←dfns.xrefs array	Extract refs vector from array ⍵	Dfn	Function		Selection	namespacereferences list		https://dfns.dyalog.com/n_xrefs.htm
rounds←dfns.rr players	Round-robin tournament	Dfn	Function		Mathematical	Round-robintournament combination Roundrobintournament		https://dfns.dyalog.com/n_rr.htm
tree←graph dfns.span fm	Breadth-first span tree for graph ⍺ from vertex ⍵	Dfn	Function		Structural	0unweightedgraph spanningtree breadth-firstsearch breadthfirstsearch bfs		https://dfns.dyalog.com/n_span.htm
tree←graph dfns.dfspan from	Depth-first spanning tree: graph ⍺ from vertex ⍵	Dfn	Function		Structural	depth-firstsearch spanningtree abstraction depthfirstsearch		https://dfns.dyalog.com/n_dfspan.htm
tree←wgraph dfns.wspan from	Spanning tree for weighted graph ⍺ from ⍵	Dfn	Function		Structural	weightedgraph spanningtree		https://dfns.dyalog.com/n_wspan.htm
tree←wug dfns.wmst root	Minimum Spanning Tree for weighted graph ⍺	Dfn	Function		Structural	weightedgraph spanningtree mininumspanningtree		https://dfns.dyalog.com/n_wmst.htm
u←bits dfns.uns i	Unsigned from signed integers	Dfn	Function		Data Conversion	typeconversion pervasivefunction nativefile cast converting change changing		https://dfns.dyalog.com/n_uns.htm
y←dfns.Cholesky x	Decomposition of Hermitian positive-definite matrix	Dfn	Function		Mathematical	Choleskydecomposition table		https://dfns.dyalog.com/n_Cholesky.htm
yes←larg dfns.subvec rarg	Is ⍺ a subvector of ⍵?	Dfn	Function		Structural	testif subvector? subset? sub-sequence? subsequence? substring sub-string sub-vector sub-list sublist		https://dfns.dyalog.com/n_subvec.htm
yyyymmdd←dfns.easter year	Easter Sunday in year ⍵	Dfn	Function		Mathematical	date CouncilofNicaea canonpaschalis pervasivefunction histogram		https://dfns.dyalog.com/n_easter.htm
z←x dfns.xtimes y	Fast multi-digit product using FFT	Dfn	Function		Mathematical	FastFourierTransform convolution polynomial convolute		https://dfns.dyalog.com/n_xtimes.htm
X{}Y	Fast: X and Y are ignored (sink; no result produced)	Dfn	Function	Performance	System	speed optimised optimized quick silence shh quiet dump idiom		
{}Y	Fast: Y is ignored (sink; no result produced)	Dfn	Function	Performance	System	speed optimised optimized quick silence shh quiet dump idiom		
≢⍤⊃Yv	Inverted Table Tally (≢Y where Y is unverted Yv)	Dfn	Monadic Function		Array Properties			
X⊣⍣Bs⊢Y	Ternary: if Bs then return X else return Y	Dfn	Monadic Function	Structure	Expression	conditionaloperator inlineiff ternaryiff ?:		
cvec←dfns.dice ?6 6	Interpret a throw of dice	Dfn	Function		Text	guard diversions string		https://dfns.dyalog.com/n_dice.htm
v←2 dfns.pco ⍵	prime factors and exponents	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
v←3 dfns.pco ⍵	prime factorization of ⍵	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
b←0 dfns.pco ⍵	Is ⍵ a non-prime?	Dfn	Dyadic Function		Mathematical	testif primenumber Jlang nonprime? composite? not		https://dfns.dyalog.com/n_pco.htm
b←1 dfns.pco ⍵	Is ⍵ a prime?	Dfn	Dyadic Function		Mathematical	testif primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
b←10 dfns.pco ⍵	m+b/⍳⍴b are all the primes between m and n, where ⍵≡m,n	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
n←¯1 dfns.pco ⍵	number of primes less than ⍵	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
p←4 dfns.pco ⍵	next prime larger than ⍵	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
p←dfns.pco ⍵	⍵-th prime	Dfn	Monadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
p←¯4 dfns.pco ⍵	next prime smaller than ⍵	Dfn	Dyadic Function		Mathematical	primenumber Jlang		https://dfns.dyalog.com/n_pco.htm
Iv⍸⍣¯1⍛⊂Y	Partitioned enclose of Y according (along last axis) beginning enclosures at indices Iv	Dfn	Dyadic Function		Selection	chop split cut separate chunk sub-vectors segmented sub-lists subvectors sublists dimension separated separator delimiter		
Xv(1⊥=)Yv	Count number of trailing elements that are equal between two vectors of equal length	Dfn	Dyadic Function		Comparison	suffix matching onright items end match	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUnXPyS1PUFTQMH3UttdVUUA8oAvH//wcA	
Xv(1⊥≠)Yv	Count number of trailing elements that are unequal between two vectors of equal length	Dfn	Dyadic Function		Comparison	suffix different onright items end differ	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfMScyqLS9QVNAwfdS191LlAEyxWkp9bqf7/PwA	
graph←graph dfns.inslink (from to)	Insert edge ⍵ in graph ⍺	Dfn	Function		Mathematical			https://dfns.dyalog.com/n_inslink.htm
graph←graph dfns.remlink (from to)	Remove edge ⍵ from graph ⍺	Dfn	Function		Structural	unweightedgraph delete drop without removing erasing erase eliminate eliminating deleting		https://dfns.dyalog.com/n_remlink.htm
array←(from repl) dfns.subs array	Vector substitution	Dfn	Function		Text	stringreplacement list string		https://dfns.dyalog.com/n_subs.htm
saved←{seed} dfns.nspack ref	Share arrays across space tree	Dfn	Function		System	packing compression enlist blank		https://dfns.dyalog.com/n_nspack.htm
vvec←graph dfns.path (fm to)	Shortest path between ⍵ in graph ⍺	Dfn	Function		Mathematical	unweightedgraph breadth-firstsearch breadthfirstsearch bfs		https://dfns.dyalog.com/n_path.htm
bfobj←(dfns.mac) src	Simple macro processor for bf	Dfn	Function		Text	Brainfuck continuation-passingstyle continuationpassingstyle string		https://dfns.dyalog.com/n_mac.htm
bmat←{A CI} dfns.baby bmat	Manchester Small Scale Experimental Machine	Dfn	Function		Mathematical	SSEM firstcomputer assembler disassembler diversions bottom ⊥		https://dfns.dyalog.com/n_baby.htm
cvec←dfns.ss (srce from into)	Approximate alternative to xutils' ss	Dfn	Function		Text	ssxutils stringreplacement substitution string		https://dfns.dyalog.com/n_ss.htm
cvecs←{prim supp} dfns.words cvec	Source vector split into words	Dfn	Function		Text	list string		https://dfns.dyalog.com/n_words.htm
cvex←{width} dfns.hex nums	Hexadecimal from decimal	Dfn	Function		Data Conversion	decimalfromhex converting change changing		https://dfns.dyalog.com/n_hex.htm
cmat←dfns.ssmat (cmat from into)	Matrix search/replace	Dfn	Function		Structural	ssxutils stringreplacement substitution table		https://dfns.dyalog.com/n_ssmat.htm
cmat←{attributes} dfns.attrib namelist	Function/operator attributes	Dfn	Function		System	⎕AT ⎕SIZE syntax name-clashproblem nameclashproblem properties		https://dfns.dyalog.com/n_attrib.htm
enco←base (dfns.ary) ratnum	⍺-ary representation of rational ⍵	Dfn	Function		Mathematical	rationalnumber binary ternary IEEEFPprecision Boolean base-2 base2		https://dfns.dyalog.com/n_ary.htm
inv←{vals} dfns.gauss_jordan mat	Gauss-Jordan elimination	Dfn	Function		Mathematical	Hilbertmatrix IEEEFPprecision purefunction GaussJordan		https://dfns.dyalog.com/n_gauss_jordan.htm
lvec←{sepr} dfns.vtol nvec	Nested vector to lines	Dfn	Function		Data Conversion	linevector list converting change changing		https://dfns.dyalog.com/
lvec←{cols} dfns.justify lvec	Justify line-vector to ⍺ columns	Dfn	Function		Text	justifytext aligntext linevector string		https://dfns.dyalog.com/n_justify.htm
list←{leaves} dfns.enlist array	List ⍺-leaves of nested array	Dfn	Function		Structural	nestedarray vector		https://dfns.dyalog.com/n_enlist.htm
nvec←{axis} dfns.mscan nvec	Minus scan	Dfn	Function		Mathematical	scanoperators scanning		https://dfns.dyalog.com/n_scan.htm
nvec←{axis} dfns.dscan nvec	Divide scan	Dfn	Function		Mathematical	scanoperators dividing scanning		https://dfns.dyalog.com/n_scan.htm
nvec←{sepr} dfns.ltov lvec	Lines to nested vector	Dfn	Function		Text	linevector list string		https://dfns.dyalog.com/n_ltov.htm
nested←{left} dfns.eis right	Enclose-if-simple / link	Dfn	Function		Structural	encloseifsimple		https://dfns.dyalog.com/n_eis.htm
path←wgraph dfns.wpath (from to)	Quickest path from/to ⍵ in weighted graph ⍺	Dfn	Function		Mathematical	weightedgraph destructiveassignment indexedassignment		https://dfns.dyalog.com/n_wpath.htm
rslt←dfns.din ''	Evaluation of multi-line D-expression	Dfn	Function		Text	definefunction sessioninput ⎕SE REPL multiline string		https://dfns.dyalog.com/n_din.htm
rslt←{array} dfns.iotag array	Generalized iota	Dfn	Function		Mathematical	generialisediota generializediota generalized⍳ generalised⍳ Unicode alphabetical abcdefghijklmopqrstuvwxyz interval range steps sequence		https://dfns.dyalog.com/n_iotag.htm
rslt←{blank} dfns.dab argt	Drop All Blanks	Dfn	Function		Text	rab compression spaces delete remove without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_dab.htm
rslt←{blank} dfns.dmb argt	Drop Multiple Blanks	Dfn	Function		Text	rmb compression spaces consecutive delete remove without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_dmb.htm
rslt←{blank} dfns.deb argt	Drop Ending Blanks	Dfn	Function		Text	DLTB reb compression spaces delete remove trailing without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_deb.htm
rslt←{blank} dfns.dlb argt	Drop Leading Blanks	Dfn	Function		Text	rlb compression spaces delete remove start beginning without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_dlb.htm
rslt←{blank} dfns.dtb argt	Drop Trailing Blanks	Dfn	Function		Text	rtb compression spaces delete remove ending without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_dtb.htm
rslt←{blank} dfns.dxb argt	Drop eXtraneous Blanks	Dfn	Function		Text	DEB rxb compression spaces delete remove without removing erasing erase eliminate eliminating deleting string		https://dfns.dyalog.com/n_dxb.htm
tree←dfns.tnest (depth leaves)	Array from TreeView style tree	Dfn	Function		Data Conversion	treesformatting converting change changing		https://dfns.dyalog.com/n_tnest.htm
{size}←cvec dfns.utf8put fid	Character vector ⍺ to UTF-8 file ⍵	Dfn	Function		Native Files	text encoding Unicode list write save dump string		https://dfns.dyalog.com/n_utf8put.htm
(depth leaves)←dfns.tview tree	TreeView style from nested array	Dfn	Function		Data Conversion	converting change changing		https://dfns.dyalog.com/n_tview.htm
{name}←dfns.fix rep	Fix function/operator rep	Dfn	Function		Data Conversion	fixfunction converting change changing		https://dfns.dyalog.com/n_fix.htm
{protected←0} dfns.wsmerge wsid	Merge saved ws into current active ws	Dfn	Function		System	workspacemerge		https://dfns.dyalog.com/n_wsmerge.htm
{⎕CSV ⍵ ⍬ 4 1}Dv	Data matrix and column titles as 2-element vector from CSV (file or vector of vectors), with apparent numbers as numbers	Dfn	Monadic Function		Data Conversion	fetch load numbers list single simple commaseparatedvalues autodetect autoconvert auto-detect auto-convert automatic heuristically heuristics headings	https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6iZGegbqCuq5hqq4xkNY2StU2Utd81DfVLyA0RD2vNLdYr6SiRJ0LKPKobYJCtQ6Q4RwcpvCodysQr1EwqlVAqPr/HwA	
X{⍺⍵}Y	Fast: X and Y as a two item vector (X Y)	Dfn	Dyadic Function	Performance	Structural	speed optimised optimized quick juxtapose tuple pair list cell element idiom		
⊂⍤⍒⍛⌷Y	Fast: Y sorted into descending order	Dfn	Monadic Function	Performance	Mathematical	speed optimised optimized quick sort() down decreasing sorting reordering ordering idiom		
(9=40∘⎕ATX)Dv	Is Dv an object?	Dfn	Monadic Function		System	are objects?		
C←{trace←0} dfns.scc G	Strongly connected components of directed graph ⍵	Dfn	Function		Structural	Stronglyconnectedcomponents depth-firstsearch DAG depthfirstsearch dfs		https://dfns.dyalog.com/n_scc.htm
alloc←{seats←435} dfns.apportion populations	Huntington-Hill apportionment	Dfn	Function		Sets	USHousepfRepresentatives assignment alotment		https://dfns.dyalog.com/n_apportion.htm
stack←{repl←0} dfns.joy program	Subset of the Joy language	Dfn	Function		Text	lists concatenative applicative Ackermann'sfunction Ackermannsfunction Metacircular vectors interpreter programming joylang string		https://dfns.dyalog.com/n_joy.htm
sum←{digs←6} dfns.chksum array	Simple ⍺-digit checksum	Dfn	Function		Mathematical	hashing		https://dfns.dyalog.com/n_chksum.htm
sumvec←{base←10} dfns.colsum cols	Sum of (default decimal) digit columns with carry	Dfn	Function		Mathematical	addition columnsum infiniteprecision ripple		https://dfns.dyalog.com/n_colsum.htm
cvec←{tabstops←8} dfns.xtabs cvec	Expand/compress HT chars	Dfn	Function		Text	tabexpansion horizontaltabs adjacent1s flipflopRS string		https://dfns.dyalog.com/n_xtabs.htm
cvecs←{nv←0} dfns.tokens cvec	Lex of APL src line	Dfn	Function		Text	parsing lexicalscan parse dyalog string tokenise tokenize tokenising tokenizing parser split chop cut identifiers segments partitions tokenisation tokenization		https://dfns.dyalog.com/n_tokens.htm
cmat←{h v t←⍬ ⍬ 0} dfns.box text	Box the simple text array ⍵	Dfn	Function		Text	border box-drawingcharacters displayofarrays boxing boxdrawingcharacters boxed enclosed string		https://dfns.dyalog.com/n_box.htm
cmat←{topbar←1} dfns.dsp array	Reduced version of disp	Dfn	Function		Text	boxing displayofarrays tape string		https://dfns.dyalog.com/n_dsp.htm
cmp←{cmp←12} dfns.packZ exp	LZW compression	Dfn	Function		Storage	packing compression suffixtrie Lempel-Ziv-Welch LempelZivWelch Abraham Jacob Terry		https://dfns.dyalog.com/n_packZ.htm
cmp←{cmp←1} dfns.packX txt	TeXt Packer	Dfn	Function		Storage	packing compression string		https://dfns.dyalog.com/n_packX.htm
cmp←{cmp←1} dfns.packN exp	Null packing	Dfn	Function		Storage	compression stuff		https://dfns.dyalog.com/n_packN.htm
cmp←{cmp←1} dfns.packB exp	Pack a simple array	Dfn	Function		Storage	packing compression		https://dfns.dyalog.com/n_packB.htm
cmp←{cmp←1} dfns.packD data	Pack character array to Boolean vector	Dfn	Function		Storage	packing compression encryption list binary base-2 base2		https://dfns.dyalog.com/n_packD.htm
cmp←{cmp←1} dfns.packH exp	Huffman packing	Dfn	Function		Storage	compression Huffmancode		https://dfns.dyalog.com/n_packH.htm
cmp←{cmp←1} dfns.packQ data	Assorted uniQues packer	Dfn	Function		Storage	packing compression		https://dfns.dyalog.com/n_packQ.htm
cmp←{cmp←1} dfns.packR exp	Run-Length Encoding (RLE packing)	Dfn	Function		Storage	compression run-lengthencoding runlengthencoding		https://dfns.dyalog.com/n_packR.htm
cmp←{cmp←1} dfns.packS exp	Shannon-Fano packing	Dfn	Function		Storage	compression ShannonFano		https://dfns.dyalog.com/n_packS.htm
cmp←{cmp←1} dfns.packT exp	Simple text vector packager	Dfn	Function		Storage	packing compression list string		https://dfns.dyalog.com/n_packT.htm
cmp←{cmp←1} dfns.packU exp	Unique packing	Dfn	Function		Storage	compression		https://dfns.dyalog.com/n_packU.htm
cols←{base←1} dfns.mayan numb	Mayan numbers	Dfn	Function		Mathematical	numbersystem stela calendar date astronomy vigesimalnumbersystem abacus		https://dfns.dyalog.com/n_mayan.htm
crep←{tabs csep←4} dfns.refmt crep	Reformat dfn/op representation	Dfn	Function		Text	functionsformatting sourcecode layout string		https://dfns.dyalog.com/n_refmt.htm
dates←{g←¯53799} dfns.date daynos	⎕TS format from day number	Dfn	Function		Data Conversion	IDN InternationalDayNumber Gregoriancalendar serialnumber 1752 converting change changing		https://dfns.dyalog.com/n_date.htm
daynos←{g←17520902} dfns.days dates	Day number from ⎕TS format	Dfn	Function		Data Conversion	IDN InternationalDayNumber Gregoriancalendar serialnumber converting change changing		https://dfns.dyalog.com/n_days.htm
names←{expr←0} dfns.externs dfn	External references from dfn ⍵	Dfn	Function		System	externalreferences xref		https://dfns.dyalog.com/n_externs.htm
nvec←{denoms←1 5 6 10 26 39 43} dfns.stamps value	Postage stamps for ⍵	Dfn	Function		Mathematical	postagestamps graph balancedternary		https://dfns.dyalog.com/n_stamps.htm
num←{num←2} dfns.root num	⍺'th root	Dfn	Function		Mathematical	defaultleftargument ⍺throot		https://dfns.dyalog.com/n_root.htm
nums←{signed←0} dfns.dec cvex	Decimal from hexadecimal	Dfn	Function		Data Conversion	decimalfromhex dec() converting change changing		https://dfns.dyalog.com/
rslt←{c←1} dfns.kball p	Relationship between point and k-ball	Dfn	Function		Mathematical	sphere hypersphere		https://dfns.dyalog.com/n_kball.htm
rslt←{cmp←1} dfns.pack4 image	Quad-tree packing	Dfn	Function		Storage	compression quadtree		https://dfns.dyalog.com/n_pack4.htm
rslt←{dirn←¯1} dfns.just chars	Justify text array	Dfn	Function		Text	justifytext aligntext string		https://dfns.dyalog.com/n_just.htm
rslt←{eval←1} dfns.lisp expr	Evaluator for a subset of Scheme	Dfn	Function		Text	closure Metacircular SICP lambdaexpression parser interpreter string		https://dfns.dyalog.com/n_lisp.htm
rvec←{exclude←⍬} dfns.refs ref	Vector of sub-space references	Dfn	Function		Array Properties	namespacereferences ⎕WX root-space rootspace list		https://dfns.dyalog.com/n_refs.htm
table←{opts←⍬} dfns.cmpx exprs	Approximate expression timings	Dfn	Function		System	performance expressioncomparison compare histogram ⎕ML time milliseconds speed commands consumption computing resources ]RunTime ]performance.runtime measure elapsed ms comparison tuning tune		https://dfns.dyalog.com/n_cmpx.htm
to←{dirn←1} dfns.polar fm	Polar from/to cartesian coordinates	Dfn	Function		Data Conversion	polarcoordinates cartesiancoordinates converting change changing		https://dfns.dyalog.com/n_polar.htm
tree←{trace←0} defn dfns.parse expr	Bunda-Gerth parse of expression ⍵	Dfn	Function		Text	parsing currying Bunda-Gerthparser bindingstrength BIDMAS BundaGerthparser apl expression string		https://dfns.dyalog.com/n_parse.htm
{⎕IO+⍵}J	Changing an index origin dependent argument to act as ⎕IO=0	Dfn	Monadic Function		Index Generation	change converting conversion		
{,⎕CSV ⍵ ⍬ 2}Dv	Numeric vector from text file with one number on each line	Dfn	Monadic Function		Data Conversion	fetch load numvec numbers list single simple	https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6iZGegbqCuq5hqq4xkNY2StU2Utd81DfVLyA0RD2vNLdYr6SiRJ0LKPKobYJCtQ6Q4RwcpvCodysQr1EwqlVAqPr/HwA	
expr←vars dfns.unify expr expr ···	Unification of expressions	Dfn	Function		Mathematical	parsing polymorphism		https://dfns.dyalog.com/n_unify.htm
{⍵:X ⋄ Y}Bs	Ternary: if Bs then execute and return X else execute and return Y	Dfn	Monadic Function	Structure	Expression	conditionaloperator inlineiff ternaryiff ?:		
Xv{↑⍺⍵}Yv	Two-row matrix from two vectors (pad shorter vector)	Dfn	Monadic Function		Structural	table lists		
Ms{0 ⍺⊤⍵}N	Integer quotient and remainder (new leading length-2 axis) of N divided by Ms	Dfn	Dyadic Function		Mathematical	divisionremainder divide % divmod() residual fractional parts	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFaoNFB717nrUteRR79ZaBUMDBUNDBUMjBUPj//8B	
X{⎕VGET⍵⍺}Dv	Using default value X if Dv does not exist	Dfn	Dyadic Function		System	fallback missing variable		
dfns.mmind ⎕A[?4⍴6]	Mastermind or “cows and bulls”	Dfn	Function		Mathematical	gameofcowsandbulls diversions REPL		https://dfns.dyalog.com/n_mmind.htm
(+/1 1∘⍉)Nm	Matrix Trace: Sum of main diagonal	Dfn	Monadic Function		Mathematical	tr(A) over	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQcFUCksYLxo94tj3o3W3JBxTW09Q0VDB91zHjU26mp4Pj/PwA	
{isolate} ⎕SE.Dyalog.Utils.repObj Y	String representation of array (without refs)	Dfn	Ambivalent Monadic Function, Dyadic Function		System	representing generate toexpression for show definition stringify serialise serialize serialisation serialization text value		
distribution←average + standard_deviation × dfns.NormRand (shape)	Random numbers with normal distribution	Dfn	Function		Mathematical	Gaussian distributed		https://dfns.dyalog.com/n_NormRand.htm
sref←{from←⎕THIS} dfns.up gens	Reference to ancestor space	Dfn	Function		System	parentspace ancestorspace namespacereferences blank		https://dfns.dyalog.com/n_up.htm
cvec←{maxcols←⎕PW} dfns.tree space	Display of namespace tree	Dfn	Function		System	workspace name-clashproblem nameclashproblem blank		https://dfns.dyalog.com/n_tree.htm
cvec←{path←⎕PATH} dfns.ncpath names	⎕path-aware ⎕NC	Dfn	Function		System	nameclassification extended⎕NC		https://dfns.dyalog.com/n_ncpath.htm
cvec←{time←⎕TS} dfns.timestamp cvec	Time-stamped message	Dfn	Function		Text	date string		https://dfns.dyalog.com/n_timestamp.htm
cmat←{space←⎕THIS} dfns.find string	Lines containing string(s) ⍵	Dfn	Function		Text	name-clashproblem stringsearch nameclashproblem		https://dfns.dyalog.com/n_find.htm
lvec←{cols←⎕PW} dfns.wrap cvec	Wrap word vector at ⍺ columns	Dfn	Function		Text	words linevector transitiveclosure list string		https://dfns.dyalog.com/n_wrap.htm
nvec←{tolerance←⎕CT} dfns.cfract numb	Continued fraction approximation of real ⍵	Dfn	Function		Mathematical	continuedfraction goldenmean fibonaccinumber		https://dfns.dyalog.com/n_cfract.htm
rats←{tolerance←⎕CT} dfns.rational nums	Rational approximation to real ⍵	Dfn	Function		Mathematical	rationalnumber Pi numberoftheBeast		https://dfns.dyalog.com/n_rational.htm
{⍵+⎕IO-1}J	Changing an index origin dependent argument to act as ⎕IO=1	Dfn	Monadic Function		Index Generation	change converting conversion		
{-⎕IO-⍵}J	Changing an index origin dependent result to be as ⎕IO=0	Dfn	Monadic Function		Index Generation	change converting conversion		
{⍵+~⎕IO}J	Changing an index origin dependent result to be as ⎕IO=1	Dfn	Monadic Function		Index Generation	change converting conversion		
{⊃⍞,⍵}Ds	Input of one character with default Ds	Dfn	Monadic Function		Text	prompt fallback string		
V←{rcols←1…} dfns.X M	Exact cover: Knuth's Algorithm X	Dfn	Function		Boolean/Logical	exactcover AlgorithmX exactcover gameofsudoku N-Queens pentomino NQueens		https://dfns.dyalog.com/n_X.htm
{⍵.##}Y	Reference to parent namespaces of objects Y	Dfn	Monadic Function		System	parents ancestors ancestry containers		
cvec←{prim supp} dfns.ssword (srce from into)	Approximate alternative to xutils ss	Dfn	Function		Text	ssxutils stringreplacement substitution string		https://dfns.dyalog.com/n_ssword.htm
cmat←{excl} dfns.fndiff (fna fnb)	Defined function differences	Dfn	Function		Text	functionsdifference comparefunctions string		https://dfns.dyalog.com/n_fndiff.htm
{cmds←''} dfns.hexdump file	Hex dump of native file	Dfn	Function		Native Files	hexadecimal macro nativefile destructiveassignment endian offsiderule		https://dfns.dyalog.com/n_hexdump.htm
{name}←{ref} dfns.ambiv namelist	Ambivalise traditional function	Dfn	Function		System	Ambivalize ambivalent tradfn		https://dfns.dyalog.com/n_ambiv.htm
{tape}←{tape} dfns.bf toks	Brainfuck	Dfn	Function		Text	turingcomplete lists hyperator 2-adicnumbers Turingtape 2adicnumbers vectors string		https://dfns.dyalog.com/n_bf.htm
Xs(1↓∘∊,¨)Yv	Xs-separated vector constructed from the vector of vectors Yv (which must be of depth 2)	Dfn	Ambivalent Monadic Function, Dyadic Function		Structural	.join() join-on from to delimited segmented string interpose intersperse interposing interspersing nested combine merge flat list strings character text joiner joining merging combining between interject inserting separated separator delimiter		
(0∧.=1 1∘⍉)Nm	Is Nm traceless?	Dfn	Monadic Function		Mathematical	tr(A) over	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQcFUCksYLxo94tj3o3W3JBxTUMHnUs17M1VDB81DHjUW@npoIjTMoJSYuBgqGCkYIxbl1O//8DAA	
As{⊖⍣⍺⊢⍵}Y	Reverse Y on condition As	Dfn	Dyadic Function		Structural	conditional		
X{</⍋⍺⍵}Y	Is X lexically less than or equal to Y?	Dfn	Dyadic Function		Comparison	testif tao totalarrayordering notafter precedesorequivalentto ≼ ⊁ lexicographically	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfPyEtUVqm30H/V2P@rd9ah3a62CulN@kjoXXhVgQbgSkHr8KkA8BexqFBQe9c5VSFQoKUrMzMnMS1coLkhMTlVIzs9NLVZITCtJLVLIy0eT/f8fAA	
X{>/⍋⍺⍵}Y	Is X lexically greater than Y?	Dfn	Dyadic Function		Comparison	testif tao totalarrayordering after follows ≻ ⋠ ⋩ lexicographically succeeds	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfPyEtUVqu30H/V2P@rd9ah3a62CulN@kjoXXhVgQbgSkHr8KnAaoqCuoPCod65CokJJUWJmTmZeukJxQWJyqkJyfm5qsUJiWklqkUJePprs//8A	
X{</⍒⍺⍵}Y	Is X lexically greater than or equal to Y?	Dfn	Dyadic Function		Comparison	testif tao totalarrayordering notbeforefollowsorequivalentto ≽ ⊀ lexicographically	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHfPyEtUVqm30H/VOetS761Hv1loFdaf8JHUuvCrAgnAlIPX4VYB4CtjVKCg86p2rkKhQUpSYmZOZl65QXJCYnKqQnJ@bWqyQmFaSWqSQl48m@/8/AA	
